date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:00:50	3401/3401	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-d49%22	https://tenup.io/img/projectSwapWhite.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/projectSwapWhite.svg	(from https://tenup.io/)
21:00:50	3413/3413	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-d55%22	https://tenup.io/img/projectSwap.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/projectSwap.svg	(from https://tenup.io/)
21:00:51	5805/5805	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-16ad%22	https://tenup.io/img/projectStakingWhite.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/projectStakingWhite.svg	(from https://tenup.io/)
21:00:51	5823/5823	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-16bf%22	https://tenup.io/img/projectStaking.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/projectStaking.svg	(from https://tenup.io/)
21:00:51	3671/3671	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-e57%22	https://tenup.io/img/bridgeWhite.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/bridgeWhite.svg	(from https://tenup.io/)
21:00:51	3674/3674	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-e5a%22	https://tenup.io/img/bridge.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/bridge.svg	(from https://tenup.io/)
21:00:52	4402/4402	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-1132%22	https://tenup.io/img/tenupAnalyzerWhite.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/tenupAnalyzerWhite.svg	(from https://tenup.io/)
21:00:52	4426/4426	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-114a%22	https://tenup.io/img/tenupAnalyzer.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/tenupAnalyzer.svg	(from https://tenup.io/)
21:00:52	4755/4755	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-1293%22	https://tenup.io/img/ludoNftWhite.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/ludoNftWhite.svg	(from https://tenup.io/)
21:00:52	4791/4791	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-12b7%22	https://tenup.io/img/ludoNft.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/ludoNft.svg	(from https://tenup.io/)
21:00:53	484751/484751	---M--	200	added ('OK')	image/png	etag:%22637a3950-7658f%22	https://tenup.io/img/document.png	D:/Website%20Themes/TenUp.io/tenup.io/img/document.png	(from https://tenup.io/)
21:00:53	2601/2601	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-a29%22	https://tenup.io/img/pdfIcon.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/pdfIcon.svg	(from https://tenup.io/)
21:00:54	852/852	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-354%22	https://tenup.io/img/downloadIcon.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/downloadIcon.svg	(from https://tenup.io/)
21:00:54	12318/12318	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-301e%22	https://tenup.io/img/cross.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/cross.svg	(from https://tenup.io/)
21:00:55	12631/12631	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-3157%22	https://tenup.io/img/ball1.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/ball1.svg	(from https://tenup.io/)
21:00:55	14250/14250	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-37aa%22	https://tenup.io/img/ball2.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/ball2.svg	(from https://tenup.io/)
21:00:55	14658/14658	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-3942%22	https://tenup.io/img/ball3.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/ball3.svg	(from https://tenup.io/)
21:00:56	3304/3304	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-ce8%22	https://tenup.io/img/steric.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/steric.svg	(from https://tenup.io/)
21:00:56	1950/1950	---M--	200	added ('OK')	image/png	etag:%22637a3950-79e%22	https://tenup.io/img/roadmapLines.png	D:/Website%20Themes/TenUp.io/tenup.io/img/roadmapLines.png	(from https://tenup.io/)
21:00:56	1029/1029	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-405%22	https://tenup.io/img/fbIcon.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/fbIcon.svg	(from https://tenup.io/)
21:00:57	1808/1808	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-710%22	https://tenup.io/img/twitter.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/twitter.svg	(from https://tenup.io/)
21:00:57	1267/1267	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-4f3%22	https://tenup.io/img/instaWhite.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/instaWhite.svg	(from https://tenup.io/)
21:00:57	957/957	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-3bd%22	https://tenup.io/img/youtubeWhite.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/youtubeWhite.svg	(from https://tenup.io/)
21:00:57	1099/1099	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-44b%22	https://tenup.io/img/telegramWhite.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/telegramWhite.svg	(from https://tenup.io/)
21:00:58	4352/4352	---M--	200	added ('OK')	image/png	etag:%22637a3950-1100%22	https://tenup.io/img/discord.png	D:/Website%20Themes/TenUp.io/tenup.io/img/discord.png	(from https://tenup.io/)
21:00:58	1247/1247	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-4df%22	https://tenup.io/img/reddit.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/reddit.svg	(from https://tenup.io/)
21:00:59	62085/62085	---M--	200	added ('OK')	image/jpeg	etag:%22637a3950-f285%22	https://tenup.io/img/WZ-WHITE.jpg	D:/Website%20Themes/TenUp.io/tenup.io/img/WZ-WHITE.jpg	(from https://tenup.io/)
21:00:59	934/934	---M--	200	added ('OK')	image/svg+xml	etag:%22637a3950-3a6%22	https://tenup.io/img/linkedinWhite.svg	D:/Website%20Themes/TenUp.io/tenup.io/img/linkedinWhite.svg	(from https://tenup.io/)
21:01:01	40672/40672	---M--	200	added ('OK')	image/jpeg	etag:%22637a3950-9ee0%22	https://tenup.io/img/ZA-White.jpg	D:/Website%20Themes/TenUp.io/tenup.io/img/ZA-White.jpg	(from https://tenup.io/)
21:01:02	33280/33280	---M--	200	added ('OK')	image/jpeg	etag:%22637a3950-8200%22	https://tenup.io/img/FK-WHITE.jpg	D:/Website%20Themes/TenUp.io/tenup.io/img/FK-WHITE.jpg	(from https://tenup.io/)
21:01:02	184658/184658	---M--	200	added ('OK')	image/png	etag:%22637a3950-2d152%22	https://tenup.io/img/ibti-white.png	D:/Website%20Themes/TenUp.io/tenup.io/img/ibti-white.png	(from https://tenup.io/)
21:01:03	43723/43723	---M--	200	added ('OK')	image/jpeg	etag:%22637a3950-aacb%22	https://tenup.io/img/DN-WHITE.jpg	D:/Website%20Themes/TenUp.io/tenup.io/img/DN-WHITE.jpg	(from https://tenup.io/)
21:01:03	21119/21119	---M--	200	added ('OK')	image/png	etag:%22637a3950-527f%22	https://tenup.io/img/logoFooter.png	D:/Website%20Themes/TenUp.io/tenup.io/img/logoFooter.png	(from https://tenup.io/)
21:01:04	86659/86659	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-15283%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	D:/Website%20Themes/TenUp.io/cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://tenup.io/)
21:01:05	20216/20216	---M--	200	added ('OK')	application/javascript	etag:%22637a3951-4ef8%22	https://tenup.io/libs/magnific/jquery.magnific-popup.min.js	D:/Website%20Themes/TenUp.io/tenup.io/libs/magnific/jquery.magnific-popup.min.js	(from https://tenup.io/)
21:01:05	23070/23070	---M--	200	added ('OK')	application/javascript	etag:%22637a3951-5a1e%22	https://tenup.io/libs/validate/jquery.validate.min.js	D:/Website%20Themes/TenUp.io/tenup.io/libs/validate/jquery.validate.min.js	(from https://tenup.io/)
21:01:07	159647/159647	---M--	200	added ('OK')	application/javascript	etag:%22637a3950-26f9f%22	https://tenup.io/libs/chart/chart.js	D:/Website%20Themes/TenUp.io/tenup.io/libs/chart/chart.js	(from https://tenup.io/)
21:01:07	211142/211142	---M--	200	added ('OK')	application/javascript	etag:%22637a3950-338c6%22	https://tenup.io/libs/chart/chart.bundle.js	D:/Website%20Themes/TenUp.io/tenup.io/libs/chart/chart.bundle.js	(from https://tenup.io/)
21:01:09	14755/14755	---M--	200	added ('OK')	application/javascript	etag:%22637a3951-39a3%22	https://tenup.io/libs/jarallax-master/dist/jarallax.min.js	D:/Website%20Themes/TenUp.io/tenup.io/libs/jarallax-master/dist/jarallax.min.js	(from https://tenup.io/)
21:01:10	3559/3559	---M--	200	added ('OK')	application/javascript	etag:%22637a3951-de7%22	https://tenup.io/libs/jarallax-master/dist/jarallax-element.min.js	D:/Website%20Themes/TenUp.io/tenup.io/libs/jarallax-master/dist/jarallax-element.min.js	(from https://tenup.io/)
21:01:10	14244/14244	---M--	200	added ('OK')	application/javascript	etag:%22637a3950-37a4%22	https://tenup.io/libs/aos-master/aos.js	D:/Website%20Themes/TenUp.io/tenup.io/libs/aos-master/aos.js	(from https://tenup.io/)
